Input Order,Gen Reference,Title,Description,Dates,Folder,Keywords,Notes
447,345,Civil War - Missing Men,"Poster entitled ""Roll of Missing Men. No. 1""",1865,,"Civil War, Missing Men, Military",
448,346,Purnell Collection - Miscellaneous,"Information regarding the Second Army Band at Fort Meade, Maryland",,,"Second Army Band, Fort Meade, Purnell Collection",
449,347,Notes on Timoleon's Dionysius,"""Notes on Timoleons Biographical History of Dionysius""",1932,,"Timoleons, Dionysius, George Read",
450,348,Scharf's History of Delaware Advertisement,Scharf's History of Delaware Advertisement,1887,,"Scharf, Delaware History",
451,349,Lewis Mansion,"Article concerning the restoration of the ""Tomahawk"" farmhouse originally located southwest of Wyoming, Delaware",1979,,"Tomahawk, Lewis Mansion",
452,350,Delaware State Police 50th Anniversary Calendar,Delaware State Police 50th Anniversary Calendar,1973,,Delaware State Police,
453,351,Columbus 500,Delaware's Columbus 500 Sail On Scholarship Project Logo,,,Columbus 500 Sail On Scholarship Project,
454,352,New Castle County Seat Debates,"Transcripts of newspaper announcements concerning public gatherings ""for the purpose of expressing their opinion on the subject of a law now pending""",1837,,"Public Debates, Politics",
608,483,"Delaware Regiments, Civil War","""Extract History of Delaware Civil War"".  ""Civil War Regiments: Individual Regimental Histories from the State of Delaware.""",,,"Civil War, Regiments, Military",
609,484,The Potter Charity Trust,"""Informal Report of the Chancellor on the Operation of the Potter Charity Trust in Kent County""",1961,,Potter Charity Trust,
610,485,Schools - P.S. Dupont,History and letters,,1,"Schools, P.S. DuPont, Radburn, Cos Cob, James Betelle, Middleford, David G. Fleagle, Education",
611,485,Schools- Eight Square School House,"History, pamphlets, letters and notes",,2,"Octagonal Schoolhouse, Education",
612,485,"Schools- Colored, 1838","Letters, articles",1838,3,"Schools, Colored, Education, Black, African American",
613,486,The Rehoboth Beacon,First issue of the Rehoboth Beacon,1873,,"Rehoboth Beacon, Beach Camp Meeting Association",negative photostat
614,487,"Quakertown, Sussex County near Lewes",History,,,"Quakertown, Sussex County, Place Name",
615,488,Old Dover Post Office,"Miscellaneous, includes Title Papers",,,"Post Office, Dover",
616,489,Women in Public Office,Letters and pamphlets,,,"Women, Public Office",
617,490,Delaware Legislature-,"1897 Letter bearing the signatures of the State Senate and Senate Officers; 1943 Bogus House Resolution relating to the ""Greater Protection for Cats""",1897-1943,,"Senate, Legislature, General Assembly,  Signatures, House Resolution",
618,491,"Customs House Records Book, Lewes, Delaware",Custom House record books,"1829, 1836-1841",,"Custom House, Lewes",
619,492,The Custom House Papers,"""The Custom House Papers""",,,Custom House,
620,493,"Volunteer Firemen's Commemoration Stamp - First Day, Dover, October 4, 1948","Resolutions, letters and pamphlets",,,Volunteer Firemen,
621,494,Junction and Breakwater Railroad,Record books of the Junction and Breakwater Railroad,1858-1860,,"Junction and Breakwater Railroad, Transportation, Lewes, Rehoboth",
622,495,Jackson and Sharp Sleeping Cars Make Trip Across the Continent 1868,Advertisement,1868,,"Jackson, Sharp, Railroad Cars, Transportation",
623,496,Dutch Colonial Education in Delaware,Miscellaneous Photostats of original Dutch correspondence,,,"Dutch, Education",
624,497,"Armour Property, New Castle Hundred (near State Road)",History of the Armour Property in New Castle Hundred,,,"Armour Property, New Castle",
625,498,Dedication of New Castle County Airport,"Program, TWA pamphlet, letters and speech at dedication of the New Castle County Airport","1947, 1967",,"New Castle County Airport, Aviation",
626,499,"General Motors Plant, Wilmington","History, maps, newspaper article",,,"Wilmington, General Motors Plant, Industry",
627,500,Delaware Records for Genealogical Research,"""Delaware Records for Genealogical Research"" by Leon DeValinger",1947,,"Genealogy, Leon DeValinger",
628,501,Women Suffrage in Delaware,"Miscellaneous pamphlets and newspaper clippings.  ""General History of Woman Suffrage.""",,,Women Suffrage,
629,502,"Kent County, Delaware Protective Association","""Articles of Association""",1883,,Kent County Protective Association,
630,503,"Republican Party Expenses, Kent County 1872","Republican Party Expenses, Kent County 1872",1872,,"Republican Party, Politics",
631,504,Government Crop Reporter in Kent County,Miscellaneous correspondence,"1895, 1905",,"Crop Reporter, Agriculture",
632,505,Agricultural Society of Delaware,"Miscellaneous, includes list of members for 1860",1860-1861,,"Agricultural Society of Delaware, Farming",
633,506,Civil War Episodes in New Castle,Articles,,,"Civil War, New Castle",
634,507,Brandywine Springs Amusement Park,"""Archaeological Excavations at the site of the entrance archway of Brandywine Springs Amusement Park.""  ""An Archaeological Investigation of the Katzenjammer Castle""  ""The Archway"" newsletter, Spring 2001.","1993-1994, 2001",1,"Archaeological Excavations, Brandywine Springs Amusement Park",
635,508,Burning of the Whorekill 1673,Photostats of depositions concerning the burning of the Whorekill in 1673,1673,,Whorekill,
636,509,Kent County Court House Ordered Built 1691; and others,"Miscellaneous, includes photostat of original order to construct a court house in Kent County.  ""The Kent County Bar Commemorates the 300th Anniversary of the Meeting of the Courts on the Dover Green.""",,,Kent County Court House,
637,510,Minutes of Annapolis Convention 1786,Photostats of the Minutes of the Annapolis Convention,1786,,"Annapolis Convention, Constitution, Articles of Confederation, John Dickinson, George Read",
638,511,Springer Heir Claims,"Pamphlet, letters and affadavit",,,"Springer Heirs Claim, Genealogy",
639,515,Delaware Memorial Bridge Dedication,Miscellaneous programs and brochures,1951,,"Delaware Memorial Bridge, Transportation",
640,516,"George Read Mansion, New Castle",Miscellaneous Photostats,1797-1802,,"George Read Mansion, New Castle",
641,517,Ridgely Family Notes,Transcripts of letters to and from Nicholas Ridgely,1827,,"Ridgely Family, Nicholas Ridgely",
642,518,Schools- New Castle Schools,"List of students, advertisment",,1,"New Castle Schools, Education",
643,519,State Chamber of Commerce,Miscellaneous publications,"1949, 1991-1992",1,"State Chamber of Commerce, Business",
644,519,State Chamber of Commerce,Annual Report,1949-1956,2,"State Chamber of Commerce, Business",
645,520,"Penn - Baltimore Boundary Depositions, 1750","Photostats of the Penn - Baltimore Boundary Depositions, 1750",1750,,"Boundary, Penn, Baltimore, Dispute",
646,521,"Election Returns, 1952",1952 Election Returns,1952,,"Election Returns, Governor",
647,522,Inventory of Furnishings in the Governor's Suite,Inventory of Furnishings in the Governor's Suite,"1953, 1960",,"Governor's Suite, Woodburn, Furnishings",
648,524,Locomotives Built in Delaware 1834-1858,"List of locomotives built in New Castle, Delaware",1834-1858,,"Locomotives, Railroad, Transportation",
649,526,Mispillion Lighthouse,Xerox copies of photographs,,,Mispillion Lighthouse,
650,528,Delaware Assembly,"Letters, list of sessions, autographs of Senators",,,"Delaware General Assembly, House, Senate",
651,529,Governor John Cook's House,"""The John Cook House:  Some Issues of Construction and Preservation"" by Lisa L. Holt",1986,,"John Cook House, Lisa Holt, Smyrna",
652,532,Executive Department Christmas Cards,Executive Department Christmas Cards,,,"Governor, Christmas Card, Executive",
653,534,"Duke of York Patents on Pilot Town Road - David Marine, M.D.","""Duke of York Patents on Pilottown Road"" by David Marine",1953,,"Duke of York Patents, Pilottown Road, David Marine",
654,535,Eden Hill Farm,,1952,,"Eden Hill, Virginia Shaw, Ridgely Family",
655,536,Blind Relief - Wilmington,Miscellaneous receipts and accounts,1835,,"Blind Relief, Wilmington",
656,540,Alms House - Wilmington,,,,,Removed to RG 2230
657,541,Alms House - Kent County,"Newspaper articles, petition",,,"Kent County Alms House, Trustees of the Poor",
658,542,New Castle and Wilmington Railroad Co.,List of the number of shares,1869,,"New Castle and Wilmington Railroad Company, Transportation",
659,543,Printers - Delaware,"Notes, letters, articles",,,Printers,
660,544,Botkin Case/ Poison Candy Case,Newspaper articles,1898,,"Cordelia Botkin, Poison Candy Case",
428,327,Grand Army of the Republic,"""List of Delaware Posts"", also article titled ""Tap Sounds from the Grand Army of the Republic"" found in the Torbert Camp Gazette.  Letter to Milford GAR Post concerning creation of a camp of Sons of Veterans, 1891.","1891, 2000",,"Grand Army of the Republic, Civil War, Military",
1006,876,Delaware Veterans Memorial Cemetery,Programs and invitations for the dedication ceremony,1999,,"Delaware Veterans Memorial Cemetery, Sussex",
1007,877,Delmarva Peninsula Golf Association,Brief history of the Association,1999,,"Delmarva Peninsula Golf Association, Sports",
1008,878,Hall House,Brochures concerning the Designer Showcase held at Hall House,1999,,"Hall House, Woodburn, Designer Showcase",
429,328,Blue Hen's Chicken Scratch,"Delaware Division of Libraries periodical ""The Blue Hen's Chicken Scratch""",1984,,"Division of Libraries, Blue Hen's Chicken Scratch",
430,329,Historical Societies,Newspaper clippings and pamphlets,,,"Duck Creek Historical Society, Sussex County",
432,330,Schools - Naming,Obituary of Anna P. Mote,1958,,"Anna P. Mote School, Marshallton",
433,331,Grand Harmonicon,"""Report Concerning the Grand Harmonicon of the Delaware State Museum""",,,"Grand Harminicon, Music, Delaware State Museums",
434,332,Roster of One Hundredth General Assembly,Roster listing the members of the One Hundredth General Assembly,1925,,"General Assembly, House, Senate, Civil List",
376,260,Springer Family Home - New Castle County,Articles regarding the Spring House,,,"Springer House, New Castle",
377,261,Horse Racing,Handicap history and publicity,,,"Horse Racing, Delaware Park",
378,262,Ship Passenger List 1686,Ship Passenger List 1686,1686,1,Ship Passenger List,
379,262,Ship Passenger Manifests and Related Materials,"Indexes of passenger lists and ships at New Castle, 1813-1842: ""Mirror of the Times & General Advertiser"", abstract of ship arrivals for 1800: 1799 abstract of news article and a passenger list",,2,"Ship Passenger List, New Castle",
380,263,Rockland Manor,Letter regarding Rockland Manor,1936,,"Rockland Manor, Brandywine",
381,264,Report of Prof. G. H. Ryden & H. Clay Reed,"""Report of work done by H. Clay Reed for the Public Archives Commission of Delaware, in Dover""",1928-1930,,"H. Clay Reed, Professor, Delaware Public Archives Commission",
382,265,Papers From Comegys Estate,Correspondence and genealogical notes from the Joseph P. Comegys Estate.  Includes a letter from Governor Reynolds accepting the resignation of Joseph P. Comegys as Chief Justice,1856-1893,,"Joseph P. Comegys, Governor Robert Reynolds, Chief Justice",
383,265,Allee House,"Miscellaneous notes, includes paper by Billie Bogus titled ""The Allee's and Their House""",,,"Allee House, Billie Bogus",
384,266,Quakers,"""A Story of the Odessa Quakers,"" 1967; ""The Friends in Odessa,"" n.d.",1967,,"Odessa Quakers, Society of Friends, Religion",
385,268,"[Thomas] Janvier's Account Book, 1794-1796","Original account book of Thomas Janvier and article ""John Janvier Sr., Delaware cabinetmaker""",1794-1796,,"John Janvier, Cabinetmaker, Odessa",
386,269,Prisoner of War Camps,"""A personal account of the activities of the Prisoner of War Camps … from it's Headquarters at Fort duPont, Delaware.""  ""Historical Evaluation for the Determination of the Presence of German Prisoner-of-War Burials in the Bear Trap Golf Course and Subdivision Area,"" 2000.",1986,,"Fort DuPont, Prisoner of War Camps, World War II",
387,270,"Biggs Building, Dover",Information on the 1858 time capsule found in the Biggs building,,,"Biggs Building, Kent County, Dover, Time Capsule",
388,271,Tatnall Building,"""Tatnall Building - A Brief History""",,,"Tatnall Building, Dover",
389,272,Delaware State Fair,Brief history,1958,,Delaware State Fair,
390,273,Conservation,"""A Selected List of References on Conservation With Particular Reference to Delaware""",1961,,Conservation,
391,274,United States Internal Revenue,"""U.S. Internal Revenue.  Annual Assessment of 1863.""",1863,,"Tax, Internal Revenue",
392,275,Cool Spring Park,Miscellaneous notes,,,Cool Spring Park,
393,276,Tour DuPont,Miscellaneous flyers and articles,1991-1993,,"Tour DuPont, Cyclists",
394,277,Pemberton Hall,Brochures,,,"Pemberton Hall, Salisbury",
395,278,Kitts Hummock,Newspapers articles regarding the name Kitts Hummock,,,Kitts Hummock,
396,279,Tammany,Report regarding the name Tammany,,,"Leni-Lenape, Tammany, Indians",
397,280,Prime Hook,Brochure,,,"Prime Hook, National Wildlife Refuge",
398,281,List of New Englanders in Delaware Census of 1850,"""New Englanders in the Delaware Census of 1850""",,,"Delaware Census, New England",
399,282,Delaware Humanities Forum,Newsletter of the Delaware Humanities Forum,1970-1977,,Delaware Humanities Forum,
400,283,National Endowment for the Humanities,"""American Memory, A Report on the Humanities in the Nation's Public Schools""",1985,,National Endowment for the Humanities,
401,284,Delaware Art Museum - Cultural Arts,"Miscellaneous brochures, reports and guides to Delaware cultural sites",,,"Culture, Art, Wilmington Society of the Fine Arts, Delaware Art Museum",
402,285,"Acts of Assembly, Incomplete Mss and Transcript","""Transcript of an incomplete manuscript copy of several acts of the Government of New Castle, Kent, and Sussex upon Delaware, G4 George II""",1731-1732,,"Colonial Assembly, Government",
403,286,"Delaware Labor Council, 1968",Program for the twelfth annual state convention of the Delaware State Labor Council,1968,,"Delaware Labor Council, Labor Unions",
404,287,History of the Delaware Railroad,"Miscellaneous, includes ""History of Delaware Railroad""",,,"Delaware Railroad, Transportation",
405,288,Business - Walton and McManus,"""Articles of Agreement between Chalkley J. Walton and Edward J. McManus to form a partnership to trade under the name and title of Walton & McManus""",1857,1,"Business, Chalkley Walton, Edward McManus",
406,288,Business - Pusey and Jones,"A bid made by the Pusey and Jones Company, Wilmington",1902,2,"Business, Pusey, Jones, Wilmington",
407,289,Painters of Delaware,"""Painters of Delaware"" by Jean Kanf Foulk",1925,,"Art, Painters, Jean Faulk DuPont",
408,290,Maps of Delaware - Owned by Commission,List of maps,,,Maps,
409,291,Water Rights In Delaware,"""Water Rights in Delaware"" by George H. Gibson and Theodore H. Clark",,,"Water Courses, Rights, Navigation",
410,292,Matthew Wilson's Article on Sussex County Fever,"""History of a Malignant Fever in Sussex County on Delaware"" by Matthew Wilson",1775,,"Medicine, Fever, Disease, Matthew Wilson",
411,293,Vital Statistics - History of Same in Delaware,Letter regarding the establishment of vital record keeping Delaware,1929,,Vital Records,
412,294,Presidential Election 1872-1972,"""How Our States Voted for President in the Past Century""",1972,,Presidential Elections,
413,295,"Delaware Railroad - Early Plan by John Randel, Jr.","Map no longer in this file, moved to unknown location",1836,,"Railroad, John Randel",
414,296,Not used.,,,,,
415,297,Island Field Museum,Brochure and book list,,,"Island Field Museum, Indians",
416,298,Broadkill River,Article on the Broadkill River,1992,,Broadkill River,
417,299,Not used.,,,,,
418,300,Delaware Agricultural Museum,Miscellaneous brochures and newsletters,,,"Delaware Agricultural Museum, Agriculture",
419,301,Governor's Register (Nicholas Van Dyke),"""Governor's diary 1784-6 (Nicholas Van Dyke)"" - see oversize",,,"Nicholas Van Dyke, Governor's Register",
420,302,Privy Council of Delaware Minutes,"""Meeting and Members of Privy Council under Governorship of Caesar Rodney""",1778-1792,,"Privy Council, Caesar Rodney",
421,303,Swanwick (Regency) House,Letter regarding the Swanwick (Regency) House,1940,,"Swanwick, Regency House",
422,304,UEA Bobcat (Military Newsletter WWII),"World War II newsletter ""VEA Bobcat""",,,"VEA Bobcat, World War II, Military",
423,305,Lincoln Club/Collection,Correspondence to and from the Lincoln Club,1971-1973,,Lincoln Club,
424,306,Postcards,Postcard of the Hall of Records,,,"Hall of Records, Delaware Public Archives Commission",
425,307,Acts of Assembly in the Archives,,,,Acts of Assembly,
426,308,Davies House,Miscellaneous notes of the Davies House in New Castle County,,,Davies House,
427,309,Wilmington Rotary Club,History of the Wilmington Rotary Club 1914-1984,1984,,Wilmington Rotary Club,
477,375,Mills and Milling - Sussex County,"""Water-Power Mills in use in Little Creek Hundred, Sussex County""",,1,"Mills, Milling, Little Creek Hundred",
478,376,Early Industries,Newspaper clippings and return of manufacturer,,,"Industry, Business, Wilmington Chamber of Commerce, Explosives",
479,377,Folklife/Crafts,"Journal, letters and pamphlets",,,"Folklife, Crafts",
480,378,West Point,"""The Forgotten 'Founders' of West Point"" by Norman B. Wilkinson",,,"West Point, Military",
481,379,East Duck Creek Hundred,Map,,,East Duck Creek Hundred,
482,380,Wilmington Grammar School and Academy,Copy of charter,1792-1795,,"Wilmington Grammar School and Academy, Education",
483,381,Constitution Place,"""Constitution Place, A Plan for the Historic Core of Dover"";",1988,,"Dover, Constitution Place",
484,382,"Corporal Punishment in Kent County, November 1788 - November 1808","""A list of persons convicted in the Court of General Sessions of the Peace in the State of Delaware for Kent County""",1788-1808,,"Court of General Sessions, Corporal Punishment, Penology",
485,383,Delaware's Resolution to Remain in the Union 1861,Delaware's Resolution to remain in the Union,1861,,"Civil War, Politics",
486,384,Delaware Century Farms - 3rd Annual Awards Ceremony,Delaware Century Farms - 3rd Annual Awards Ceremony program,1989,,Delaware Century Farms,
487,385,"Legislative Hall, History of","Informational handouts, letters and news releases concerning events in around the building",,1,"Legislative Hall, Capital, General Assembly",
488,386,Election Returns,"""Official Results of General Election""",1966-1978,1e,"Elections Returns, Politics",
489,386,Election Returns,"""Official Results of General Election""",1980-1992,1f,"Elections Returns, Politics",
490,386,Election Returns,"""Official Results of General Election""",1994-2008,1g,"Elections Returns, Politics",
491,386,Election Returns,Election Returns for various years,1774-1820,1a,"Elections Returns, Politics",
492,386,Election Returns,"Election Returns for various years (from Thomas Rodney's ""Memorandum Book"")",1791-1826,1b,"Elections Returns, Politics",
493,386,Elections - Miscellaneous Records,"Elections - Miscellaneous Records: ""Delaware Elections System"" (post-1970); inquiry draft of early election results; Election Voting Process Chart (1988); & election ephemera",,3,Elections,
494,386,Elections - Ballots and Posters,Election Ballots and Posters,1830-1998,2a,"Elections, Ballots",
495,386,The First Federal Elections,"""The First Federal Elections: A Teachers Resource Packet""",,5,Elections,
496,386,Election Returns/Tallies of Votes/ Electors,"Election returns, letters, notes, posters, ballots",1896-1964,1d,Elections,
513,400,The Hundred of Delaware,"Maps, history and notes",,,Delaware Hundreds,
514,401,Federal Corresponding Committee of Sussex County - 1804,Letter from Federal Corresponding Committee of Sussex County to the Federal Corresponding Committee of Kent County debating the merits of a religious pamphlet,1804,,"Federal Corresponding Committee, Sussex County, Kent County",
515,402,British Immigrant Servants Sold in Philadelphia:  1771-1773,British Immigrant Servants Sold in Philadelphia:  1771-1773,,,"Indentures, Philadelphia, Immigration",
516,403,Ships - Welcome,"""The Passengers on the 'Welcome'"" by E. B. Cowgill",1897,,"Welcome, Ships, William Penn, E. B. Cowgill",
517,404,Greater Wilmington Development Council,"Miscellaneous brochures and pamphlets, including newsletters and annual reports",1970-1976,,Greater Wilmington Development Council,
518,405,"Aitken's Register Account of Delaware, 1774","""Aitken's General American Register. For the Year 1774""",1774,,Delaware History,
522,407,White Meadow Mansion,Moved to General Reference #249,,,,Moved to General Reference #249
523,408,Letters of Rev. John Ewing to his wife,Transcripts of letters from Rev. John Ewing to his wife,1774-1775,,Rev. John Ewing,
524,409,New Castle City Charter and Amendments,New Castle City Charter and Amendments,,,New Castle City Charter,
525,410,Old Delaware Trees (Penn's Trees),"""Information relative to old Delaware trees extracted from volume entitled:  Penn's Woods 1682""",,,"Penn's Woods, Trees",
526,411,Education,"Newspaper clippings, history, 1827 Legislative petition",,1,Education,
527,411,Education,"Newspaper clippings, history, 1827 Legislative petition",,2,Education,
528,412,"Elizabeth W. Murphey School, Inc",Pamphlet,1928,,"Elizabeth W. Murphey School, Sanford Murphey, Education",
529,413,The Sierra Club,See Periodical Collection,,,,Moved to Periodicals Collection
530,414,Moors of Delaware,"Miscellaneous, included pamphlet ""The So-Called Moors of Delaware"" by George P. Fisher and ""Delaware's Invisible Indians"" by Edward Heite",,,"Moors, Indians, Cheswold, Edward Heite, George P. Fisher",
531,415,Delaware Society War of 1812,"Minutes and applications of members, contains genealogical information on 12 Delaware participants in the War of 1812",,,Delaware Society of War of 1812,
679,567,Eleutherian Mills - Hagely Foundation,"Letter, press release, article",,,"Eleutherian Mills - Hagley Foundation, DuPont",
680,568,Winterthur,"Pamphlets, press release, letters",,,"Winterthur, duPont, Downs",
681,569,"Old Town Hall, Wilmington","Notes, letters",,,"Town Hall, Wilmington",
682,570,Saint Georges and Appoquinimink,"""St. Georges and Appoquinimink, History of These Old Hundreds, With Their Old Families, Old Schools, Old Manor House, Old Highways and Old Sailing Routes""",,,"St. Georges, Appoquinimink",
683,571,"Return Day, Sussex County","Pamphlets, press release, letters, copy of speech",,,"Return Day, George Town, George Mitchell, Sussex County",
684,572,Frederica,"""Early History of Frederica"" by M. L. Hydorn",,,Frederica,
685,573,"Wilmington and Vicinity, c.1800-1830",Letters,,,Wilmington,
686,574,"Wilmington, ""A Big Night In""","""A Big Night in Wilmington"" by Dorothy Kilgallen",1953,,"Wilmington, Entertainment, Plays, Musicals",
687,575,Noxentown:  Charter for Markets and Fairs 1743,Noxentown:  Charter for Markets and Fairs 1743,1743,,"Noxentown, Fairs, Markets",
688,576,Defense of New Castle,Minutes of a public meeting regarding the defense of the town of New Castle,circa 1813,,"New Castle, War of 1812",
689,577,"Smyrna, Delaware","""A Duplicate of the Assessment List of the Town of Smyrna"" and ""Smyrna 100 Years Ago Told By Col. Wilmer Back In 1880""",1857,,"Smyrna, Tax Assessment, Duck Creek Crossroads",
690,578,Improvements of Bethany Beach,"""Constitution and By-Laws of the Bethany Beach Improvement Association""",1955,,Bethany Beach Improvement Association,
691,579,Rehoboth Beach,"History.  Rehoboth Beach Hotel stock certificate, 1883.  Rehoboth Beach Campmeeting Association power of attorney, 1873. ""On the Marker"" article on survey markers in Rehoboth.","1873, 1883, 2004",1,Rehoboth Beach,
692,580,"Milford, Delaware","History, newspaper article",,,Milford,
693,581,Arden,Rent Rolls for the town of Arden,1948-1949,1,Arden,
694,582,Cigar Store Indians,"Article ""Only Two 'Honest Injuns' Now Guard Dorrways of Wilmington Cigar Shops""",1928,,"Cigar Store Indians, Wilmington",
695,583,St. Augustine Marsh Company; Tax List,St. Augustine Marsh Company; Tax List,1853,,St. Augustine Marsh Company,
696,584,Cypress Swamp,Newspaper articles,,,Cypress Swamp,
697,585,C.C.C. Mosquito Control,Miscellaneous articles,,,"C.C.C. Mosquito Control, Civilian Conservation Corp",
698,586,"Milford, New Century Club","""The Milford New Century Club, Club History""",,,Milford New Century Club,
699,587,"Houses: Construction Contracts, 1736-1843",Photostats of construction contracts,"1736, 1843",,"Construction Contracts, New Castle, Carpenters",
700,588,"Diary At Mount Harmon, 1837","Transcript of ""Diary at Mount Harmon""",1837,,"Diary, Mount Harmon, Agriculture",
701,589,Holly - Print,Holly Print,,,"Holly Tree, State Symbols",
702,590,French Treasury Robbery,"""State vs. H. Lalor""",1783,1,"H. Lalor, French Treasury Robbery",
703,591,French Treasury Robbery,"""State vs. H. Lalor""",1783,2,"H. Lalor, French Treasury Robbery",
704,592,Delaware Politics 1865-1874,"""Delaware Politics 1865-1874"" by Anthony Cain",1995,,"Delaware Politics, Civil War, Reconstruction, Anthony Cain",
705,593,U.S. Inaugural Parades,"""State to lead Capital Parade""",1956,,"Inaugural Parade, Eisenhower",
706,596,"Political Comment, Colonial",Miscellaneous newspaper articles,,,Colonial Politics,
707,597,"Wilmington Mercury, American Watchman",,1819,,"Wilmington Mercury, American Watchman",
708,598,Bells:  Delaware Liberty Bell,"""History of Delaware's Liberty Bell""",,,Liberty Bell,
709,601,"Abbreviations, Historical Agencies and Terms","""Abbreviations in Historical Works""",,,Abbreviations,
710,603,Charter Documents,"Copies of Charter, notes, letter, transcriptions",,,"Charter, Duke of York, William Penn",
711,604,Chronology - Delaware History,"Chronology, letters, notes, pamphlet",,1,Delaware History,
712,604,Chronology - Delaware History,"Notes, enrollment",,2,"Delaware History, School Districts",
713,605,"Delaware History, Bibliography",Sources on Delaware,,,Delaware History Bibliography,
714,607,Weather,Articles,,,Weather,
715,608,Dramatic Performances and Programs,"Programs, articles",,,"Dramatic Performances and Programs, Theatre, Plays",
716,609,Programs: Patriotic,Miscellaneous Programs,,,"Programs, Loyalty Day, Independence Day",
717,610,Dedication Ceremonies,"Miscellaneous Programs, includes the Cape May - Lewes Ferry, Edward Tatnall  Building, John M. Clayton Hall, Colonel John Haslet Armory, Octagonal Schoolhouse, Delaware Memorial Bridge, Carvel Building, Dover Federal Building, 1974; Hudson State Service Center, 1975;",,,"Ferry, Tatnall, Clayton, Haslet Armory, Octagonal Schoolhouse, Delaware Memorial Bridge, Carvel, Dedication Ceremony",
718,611,Texas Centenary: Delaware Representatives,Newspaper article,1946,,Texas Centenary,
719,612,"Indians,  Miscellaneous File","Articles, pamplet, history, letters, Act of Incorporation for the Nanticoke Indian Association (1922).",,,"Indians, Native Americans",
720,613,New Castle Indian Deeds and Land Titles,"""Patent to Messrs. Godyn and Blommart for a Tract of Land on Delaware Bay""",,,"Indians, Native Americans, Deed, Land Titles",
721,614,New Castle County Mining Company,Subscription list and agreement,1813,,"Mining Company, Industry",
722,615,Farmer's Bank,"Oath given by Harbeson Hickman to ""to faithfully discharge his duty as Director of the Farmer's Bank""",1873,,"Farmer's Bank, Georgetown, Harbeson Hickman",
723,616,Kent County Mutual Insurance Company,"Charter and By-Laws and pamphlet entitled ""The First Hundred Years"".  Financial Statement, 1873","1873, 1942, 1946",,Kent County Mutual Insurance Company,
724,617,"""Old Mills on the Brandywine""","""Old Mills on the Brandywine"" by Carroll K. Michener",1948,,"Mills, Brandywine, Carroll Michener",
725,618,Odessa and Middletown Railway,Railway Schedule,1904,,"Odessa, Middletown Railway, Railroad, Transportation",
726,619,Fraternal Orders,"Proclamation, articles, procedure book",,1,"Fraternal Orders, Masons, Knights of Pythias, Knights Templar",
727,619,"Union Lodge #3 Georgetown, 1849-1856","""Book of Proceedings""",1849-1856,2,"Union Lodge #3, Georgetown",
728,620,Political Societies,"Pamphlet, Oath of Patriotic Society",,,"Patriotic Club, Young Men's Democratic Club",
729,621,Patriotic and Hereditary Societies,"Articles, notes, letters",,,"Patriotic, Hereditary Societies, Sons of the American Revolution",
730,622,Wilmington Club,"""One Hundred Anniversary Dinner of the Wilmington Club""",1955,,Wilmington Club,
731,623,Civil War Correspondence and Personal Papers,Miscellaneous correspondence,1862-1865,1,Civil War Correspondence,
732,624,"List of Soldier's Graves (decorated by [GAR] Post #14, Odessa)","""List of Soldier's Graves""",1903,,"Soldier's Graves, Grand Army of the Republic, Odessa",
733,625,Delaware:  General History,"Pamphlet, articles",,,Delaware History,
734,626,"Land Records - Duke of York, etc.",Copies of land records,,,"Duke of York, Land Records",
735,627,Bonds of Individuals,Miscellaneous bonds,1867-1909,1,Bonds,
736,627,"Bond of Donovan, Abraham to Clows, John",Bond,1789,2,"Bond, Abraham Donovan, John Clows",
737,627,"Bond of Beck, Emma to Spruance, James",Bond,1866,3,"Bond, Emma Beck, James Spruance",
739,627,"Bond of Ingram, Job to Lamb, Luke",Bond,1815,5,"Bond, Job Ingram, Luke Lamb",
740,627,"Bond of Fisher, Alexander to Bradley, John",Bond,1814,6,"Bond, Alexander Fisher, John Bradley",
741,627,"Bond of Lockerman, John to Riddle, James",Bond,1803,7,"Bond, John Lockerman, James Riddle",
742,628,"Accounts, Private (Small groups and individual items)","Personal accounts, letters",,,Private Accounts,
743,629,Taverns- Battell's Tavern,"Notice of a Sheriff's Sale, 1791.  ""The Golden Fleece Tavern,"" 1987.  Constitution of the United States, 1987.","1791, 1987",1,"Elizabeth Battell, Tavern, Dover, Golden Fleece",
744,630,Craftsmen and Passenger List 1681,"Articles, list",,,"Craftsmen, Passenger List",
745,637,Stidham Family Letters,Four letters,1847-1862,,Stidham Family Letters,
746,640,Congressional Medal of Honor,Correspondence,,,"Congressional Medal of Honor, Military, World War II, Civil War",
747,644,Who's Who (International),"""International Who's Who""",1948,,Who's Who,
748,654,E.I. DuPont's Shotgun,"""The Story of The Three Fine Shotguns Originally owned by Eleuthere Irenee DuPont, His Wife, Sophie Madeleine DuPont, and James Antoine Bidermann""",1952,,"Eleuthere Irenne DuPont, Shotguns, James Bidermann",
749,655,Academies and Boarding Schools,"Ads, shares, report cards",,,"Academies, Boarding Schools, Education, Middletown Academy, Hannah More Academy",
750,656,"Public, Subscription and Community Schools","History, building records, announcements",,1,"Public, Subscription, Community Schools, Education",
751,657,Wesleyan Female College,"Annual Re-Union Program (1914) and Second Annual Luncheon Program (1914).  ""Sunday School Advocate,"" August 20, 1853, article on Wesleyan Female College.","1853, 1914",,"Wesleyan Female College, Education",
